Country/Regional Local Authority,ONS area code,Notes,Period,Observation
Bath and North East Somerset UA,E06000022,,2019,22.9
"Bournemouth, Christchurch and Poole UA",E06000058,,2019,19.7
"Bristol, City of UA",E06000023,,2019,14.9
Cornwall UA,E06000052,,2019,29.5
Isles of Scilly UA,E06000053,data-not-available,2019,
North Somerset UA,E06000024,,2019,30.3
Plymouth UA,E06000026,,2019,15.5
South Gloucestershire UA,E06000025,,2019,25.1
Swindon UA,E06000030,,2019,24.0
Torbay UA,E06000027,,2019,21.7
Wiltshire UA,E06000054,,2019,30.3
Devon,E10000008,,2019,31.1
Dorset,E06000059,,2019,33.8
Gloucestershire,E10000013,,2019,28.2
Somerset,E10000027,,2019,29.6
South East (Region),E12000008,,2019,25.8
Bracknell Forest UA,E06000036,,2019,26.8
Brighton and Hove UA,E06000043,,2019,12.5
Isle of Wight UA,E06000046,,2019,18.3
Medway UA,E06000035,,2019,24.6
Milton Keynes UA,E06000042,,2019,33.1
Portsmouth UA,E06000044,,2019,17.2
Reading UA,E06000038,,2019,13.1
Slough UA,E06000039,,2019,14.7
Southampton UA,E06000045,,2019,13.9
West Berkshire UA,E06000037,,2019,27.3
Windsor and Maidenhead UA,E06000040,,2019,26.2
Wokingham UA,E06000041,,2019,24.3
Buckinghamshire,E10000002,,2019,28.1
East Sussex,E10000011,,2019,25.9
Hampshire,E10000014,,2019,30.9
Kent,E10000016,,2019,27.4
Oxfordshire,E10000025,,2019,28.9
Surrey,E10000030,,2019,24.2
West Sussex,E10000032,,2019,28.2
Country/Regional Local Authority,ONS area ,,2020,2020.0
County Durham UA,E06000047,,2020,30.9
Darlington UA,E06000005,,2020,27.6
Hartlepool UA,E06000001,,2020,32.7
Middlesbrough UA,E06000002,,2020,27.5
Northumberland UA,E06000048,,2020,33.1
Redcar and Cleveland UA,E06000003,,2020,34.2
Stockton-on-Tees UA,E06000004,,2020,25.2
Tyne and Wear (Met County),E11000004,,2020,21.5
Gateshead,E08000020,,2020,20.3
Newcastle upon Tyne,E08000021,,2020,19.2
North Tyneside,E08000022,,2020,22.0
South Tyneside,E08000023,,2020,20.4
Sunderland,E08000024,,2020,24.7
North West (Region),E12000002,,2020,24.1
Blackburn with Darwen UA,E06000008,,2020,19.8
Blackpool UA,E06000009,,2020,18.5
Cheshire East UA,E06000049,,2020,31.5
Cheshire West and Chester UA,E06000050,,2020,30.3
Halton UA,E06000006,,2020,38.7
Warrington UA,E06000007,,2020,24.9
Cumbria,E10000006,,2020,32.5
Lancashire,E10000017,,2020,25.8
Greater Manchester (Met County),E11000001,,2020,20.0
Bolton,E08000001,,2020,22.6
Bury,E08000002,,2020,19.7
Manchester,E08000003,,2020,17.4
Oldham,E08000004,,2020,19.8
Rochdale,E08000005,,2020,19.8
Salford,E08000006,,2020,20.6
Stockport,E08000007,,2020,21.0
Tameside,E08000008,,2020,17.9
Trafford,E08000009,,2020,20.2
Wigan,E08000010,,2020,21.4
Merseyside (Met County),E11000002,,2020,21.0
Knowsley,E08000011,,2020,28.7
Liverpool,E08000012,,2020,16.7
Sefton,E08000014,,2020,21.6
St. Helens,E08000013,,2020,24.9
Wirral,E08000015,,2020,23.2
Yorkshire and the Humber (Region),E12000003,,2020,26.6
East Riding of Yorkshire UA,E06000011,,2020,35.4
"Kingston upon Hull, City of UA",E06000010,,2020,17.6
North East Lincolnshire UA,E06000012,,2020,24.9
North Lincolnshire UA,E06000013,,2020,32.4
York UA,E06000014,,2020,25.6
North Yorkshire,E10000023,,2020,33.1
South Yorkshire (Met County),E11000003,,2020,26.2
Barnsley,E08000016,,2020,27.2
Doncaster,E08000017,,2020,29.3
Rotherham,E08000018,,2020,27.7
Sheffield,E08000019,,2020,23.1
West Yorkshire (Met County),E11000006,,2020,23.2
Bradford,E08000032,,2020,20.7
Calderdale,E08000033,,2020,22.3
Kirklees,E08000034,,2020,21.8
Leeds,E08000035,,2020,24.9
Wakefield,E08000036,,2020,25.3
East Midlands (Region),E12000004,,2020,29.1
Derby UA,E06000015,,2020,21.6
Leicester UA,E06000016,,2020,18.4
Nottingham UA,E06000018,,2020,14.6
Rutland UA,E06000017,,2020,39.3
Derbyshire,E10000007,,2020,29.9
Leicestershire,E10000018,,2020,31.4
Lincolnshire,E10000019,,2020,35.4
North Northamptonshire  ,E06000061,data-not-available,2020,
Northamptonshire  ,E10000021,data-not-available,2020,31.2
